family,setting,confidence_floor,external_class_aware_nms_iou,per_image_max_detections,operating_confidence_for_PRF1,matching_iou_for_PRF1,retained_predictions,avg_retained_detections_per_image,mAP_50_95,AP50,AP75,AR1,AR10,AR100,TP,FP,FN,precision,recall,F1,scenario,evaluated_images
confidence,conf_0.250,0.25,none,300,0.25,0.5,3516,17.58,0.2547760417346787,0.4514898355190611,0.2673485638027645,0.2036466465836152,0.3011470581471067,0.31754821544667317,764,491,560,0.6087649402390438,0.5770392749244713,0.5924777045366421,crowded_occluded,50
confidence,conf_0.250,0.25,none,300,0.25,0.5,3516,17.58,0.3996948769589522,0.564453526571142,0.4228614527557087,0.2817762637119683,0.46333960575068645,0.46375977381791333,291,255,62,0.532967032967033,0.8243626062322946,0.6473859844271412,daytime_normal,50
confidence,conf_0.250,0.25,none,300,0.25,0.5,3516,17.58,0.17075152491101042,0.3048220347176662,0.16673613508899837,0.11636017466525941,0.24407213515567025,0.2498971313862355,315,443,276,0.4155672823218997,0.5329949238578681,0.46701260192735355,night_lowlight,50
confidence,conf_0.250,0.25,none,300,0.25,0.5,3516,17.58,0.20776581166515154,0.41342977159954636,0.14045284424333448,0.20640397191461018,0.31494657014717803,0.32314991695234857,496,461,303,0.5182863113897597,0.6207759699624531,0.5649202733485195,small_distant,50
confidence,conf_0.350,0.35,none,300,0.35,0.5,2292,11.46,0.24202873100485908,0.4180526276594421,0.2636973310045751,0.20112602416141795,0.2828545562762809,0.2902676087911763,647,194,677,0.7693222354340071,0.48867069486404835,0.5976905311778291,crowded_occluded,50
confidence,conf_0.350,0.35,none,300,0.35,0.5,2292,11.46,0.3694520132408441,0.5130775609110636,0.392433421119878,0.27571565765136213,0.4127196875931486,0.4127196875931486,262,114,91,0.6968085106382979,0.7422096317280453,0.7187928669410152,daytime_normal,50
confidence,conf_0.350,0.35,none,300,0.35,0.5,2292,11.46,0.16082760605521865,0.28206980946381266,0.16189309665736082,0.10279143643550423,0.21979188285483683,0.21979188285483683,265,177,326,0.5995475113122172,0.44839255499153974,0.5130687318489835,night_lowlight,50
confidence,conf_0.350,0.35,none,300,0.35,0.5,2292,11.46,0.1565066143033604,0.3132891858834603,0.11238996497702138,0.13924256189605733,0.21847138373278188,0.22196181427488418,416,217,383,0.6571879936808847,0.5206508135168961,0.5810055865921787,small_distant,50
confidence,conf_0.500,0.5,none,300,0.5,0.5,1540,7.7,0.203687886783356,0.30685788281286924,0.230697440534113,0.15390648017584474,0.22499188493429453,0.22713959173767545,523,71,801,0.8804713804713805,0.3950151057401813,0.5453597497393118,crowded_occluded,50
confidence,conf_0.500,0.5,none,300,0.5,0.5,1540,7.7,0.3570807114683805,0.4825784952158749,0.38931333241727606,0.27494046385291254,0.389306520353032,0.389306520353032,239,50,114,0.8269896193771626,0.6770538243626062,0.7445482866043613,daytime_normal,50
confidence,conf_0.500,0.5,none,300,0.5,0.5,1540,7.7,0.12517013357407517,0.20658833980901273,0.12264603629718572,0.0836431291334439,0.14183193051231793,0.14183193051231793,188,67,403,0.7372549019607844,0.31810490693739424,0.4444444444444444,night_lowlight,50
confidence,conf_0.500,0.5,none,300,0.5,0.5,1540,7.7,0.13675186923026925,0.265082650380538,0.09869659245819609,0.11444802310151854,0.1687761185116808,0.16915021250279608,321,81,478,0.7985074626865671,0.40175219023779724,0.5345545378850958,small_distant,50
maxdet,top_50,0.001,none,50,0.25,0.5,10000,50.0,0.2769454210943543,0.49485041480865366,0.28222939950434783,0.22699729918061198,0.38147634396608004,0.4064477687916141,764,491,560,0.6087649402390438,0.5770392749244713,0.5924777045366421,crowded_occluded,50
maxdet,top_50,0.001,none,50,0.25,0.5,10000,50.0,0.41542061280731934,0.6150234964637331,0.4257087033109123,0.32205404148974603,0.5336130851212929,0.5406875428113458,291,255,62,0.532967032967033,0.8243626062322946,0.6473859844271412,daytime_normal,50
maxdet,top_50,0.001,none,50,0.25,0.5,10000,50.0,0.1810651978376908,0.3375522276216318,0.16912957723163674,0.1413601746652594,0.27860403787764565,0.2987912457464515,315,443,276,0.4155672823218997,0.5329949238578681,0.46701260192735355,night_lowlight,50
maxdet,top_50,0.001,none,50,0.25,0.5,10000,50.0,0.21727122612514196,0.43897952819218317,0.14660859313010777,0.2227305025268551,0.35718788303894683,0.37544220015040686,496,461,303,0.5182863113897597,0.6207759699624531,0.5649202733485195,small_distant,50
maxdet,top_100,0.001,none,100,0.25,0.5,20000,100.0,0.2792930254497158,0.5038830981227774,0.28271161197293226,0.22699729918061198,0.38932036346364285,0.42626496550235504,764,491,560,0.6087649402390438,0.5770392749244713,0.5924777045366421,crowded_occluded,50
maxdet,top_100,0.001,none,100,0.25,0.5,20000,100.0,0.4160292327816499,0.6166002551970252,0.42607561554172113,0.32205404148974603,0.5336130851212929,0.5533661413825574,291,255,62,0.532967032967033,0.8243626062322946,0.6473859844271412,daytime_normal,50
maxdet,top_100,0.001,none,100,0.25,0.5,20000,100.0,0.18307785782224087,0.34083863639297857,0.1716164208901132,0.18580461910970386,0.32368950796311574,0.3639083421286811,315,443,276,0.4155672823218997,0.5329949238578681,0.46701260192735355,night_lowlight,50
maxdet,top_100,0.001,none,100,0.25,0.5,20000,100.0,0.22120113466699687,0.45005458859585984,0.15432764838117347,0.2334447882411408,0.3852400689482756,0.4101132444050377,496,461,303,0.5182863113897597,0.6207759699624531,0.5649202733485195,small_distant,50
maxdet,top_300,0.001,none,300,0.25,0.5,52039,260.195,0.28099091745546745,0.5080622955745175,0.28320616289378703,0.22699729918061198,0.39907302830910857,0.44754504065819545,764,491,560,0.6087649402390438,0.5770392749244713,0.5924777045366421,crowded_occluded,50
maxdet,top_300,0.001,none,300,0.25,0.5,52039,260.195,0.41735659828444754,0.6172486007439685,0.427005432945861,0.32205404148974603,0.5769464184546265,0.60271080454733,291,255,62,0.532967032967033,0.8243626062322946,0.6473859844271412,daytime_normal,50
maxdet,top_300,0.001,none,300,0.25,0.5,52039,260.195,0.18390728413454363,0.34328046125742523,0.1721328339206452,0.18580461910970386,0.33163822591183373,0.4309612502106449,315,443,276,0.4155672823218997,0.5329949238578681,0.46701260192735355,night_lowlight,50
maxdet,top_300,0.001,none,300,0.25,0.5,52039,260.195,0.22199487873650678,0.45125759833841816,0.15561625304849924,0.2334447882411408,0.391933946499296,0.4284146188158346,496,461,303,0.5182863113897597,0.6207759699624531,0.5649202733485195,small_distant,50
external_nms,nms_none,0.001,none,300,0.25,0.5,52039,260.195,0.28099091745546745,0.5080622955745175,0.28320616289378703,0.22699729918061198,0.39907302830910857,0.44754504065819545,764,491,560,0.6087649402390438,0.5770392749244713,0.5924777045366421,crowded_occluded,50
external_nms,nms_none,0.001,none,300,0.25,0.5,52039,260.195,0.41735659828444754,0.6172486007439685,0.427005432945861,0.32205404148974603,0.5769464184546265,0.60271080454733,291,255,62,0.532967032967033,0.8243626062322946,0.6473859844271412,daytime_normal,50
external_nms,nms_none,0.001,none,300,0.25,0.5,52039,260.195,0.18390728413454363,0.34328046125742523,0.1721328339206452,0.18580461910970386,0.33163822591183373,0.4309612502106449,315,443,276,0.4155672823218997,0.5329949238578681,0.46701260192735355,night_lowlight,50
external_nms,nms_none,0.001,none,300,0.25,0.5,52039,260.195,0.22199487873650678,0.45125759833841816,0.15561625304849924,0.2334447882411408,0.391933946499296,0.4284146188158346,496,461,303,0.5182863113897597,0.6207759699624531,0.5649202733485195,small_distant,50
external_nms,nms_0.45,0.001,0.45,300,0.25,0.5,33330,166.65,0.2813376527078606,0.509826855093338,0.2808610416324925,0.22699729918061198,0.3938116140117375,0.4236749806908056,740,395,584,0.6519823788546255,0.5589123867069486,0.6018706791378609,crowded_occluded,50
